  123        2.471870        7.972450        1.830810        4.082880
  124        2.469640        7.973170        1.831570        4.081380
  125        2.467400        7.974100        1.832220        4.080010
  126        2.465410        7.974960        1.832660        4.078750
  127        2.463780        7.975740        1.832970        4.077790
  128        2.462240        7.976800        1.833050        4.077120
  129        2.460470        7.978330        1.833000        4.076580
  130        2.458450        7.980180        1.833140        4.076180
  131        2.456650        7.982240        1.833380        4.076260
  132        2.455100        7.984440        1.833480        4.076830
  133        2.453960        7.986430        1.833820        4.077900
  134        2.453420        7.988090        1.834520        4.079150
  135        2.452850        7.989710        1.835250        4.080300
  136        2.452050        7.991560        1.836360        4.081520
  137        2.450870        7.993190        1.837760        4.082760
  138        2.449600        7.994220        1.838800        4.084130
  139        2.448490        7.994630        1.839110        4.085960
  140        2.447630        7.994640        1.839400        4.088120
  141        2.446800        7.994490        1.840270        4.090150
  142        2.445660        7.994630        1.841220        4.091810
  143        2.444530        7.995680        1.842100        4.093240
  144        2.443740        7.996840        1.843260        4.094850
  145        2.442670        7.997580        1.845000        4.096610
  146        2.441550        7.998300        1.846900        4.098470
  147        2.440730        7.998830        1.848440        4.100350
  148        2.439430        7.999260        1.849740        4.101810
  149        2.437980        7.999930        1.850840        4.103130
  150        2.436830        8.000710        1.851860        4.104600
  151        2.435550        8.001460        1.852610        4.105930
  152        2.434090        8.002310        1.852840        4.107040
  153        2.432670        8.003320        1.853300        4.107860
  154        2.431330        8.004250        1.854280        4.108310
  155        2.430070        8.005110        1.855270        4.108520
  156        2.428850        8.006220        1.856370        4.108570
  157        2.427770        8.007490        1.857590        4.108450
  158        2.426830        8.008560        1.858750        4.108210
  159        2.425830        8.009560        1.859780        4.107780
  160        2.424760        8.010540        1.860560        4.107040
  161        2.423540        8.011300        1.861400        4.106440
  162        2.422280        8.011880        1.862220        4.106270
  163        2.421520        8.012380        1.862830        4.106500
  164        2.421430        8.013180        1.863150        4.106880
  165        2.421700        8.013930        1.863210        4.106820
  166        2.421950        8.014300        1.863060        4.106240
  167        2.422360        8.014590        1.862490        4.105410
  168        2.423120        8.014790        1.861740        4.104710
  169        2.423850        8.014920        1.861190        4.104340
  170        2.424640        8.015160        1.860680        4.104030
  171        2.425450        8.015190        1.860100        4.104090
  172        2.426280        8.014840        1.859440        4.104580
  173        2.427100        8.014690        1.858710        4.104920
  174        2.427620        8.014620        1.858130        4.105220
  175        2.427990        8.014230        1.857420        4.105890
  176        2.428470        8.013780        1.856290        4.107100
  177        2.429340        8.013470        1.855220        4.108470
  178        2.430150        8.013200        1.854630        4.109700
  179        2.430600        8.012740        1.854410        4.111120
  180        2.430880        8.012430        1.854370        4.112480
  181        2.430970        8.012230        1.854310        4.113990
  182        2.430980        8.011750        1.854480        4.116030
  183        2.431190        8.011210        1.855060        4.117900
  184        2.431430        8.010770        1.855590        4.119790
  185        2.431070        8.010450        1.855730        4.122080
  186        2.430190        8.010110        1.855510        4.124200
  187        2.428890        8.009830        1.855150        4.126320
  188        2.427070        8.009610        1.854830        4.128650
  189        2.425300        8.009470        1.854380        4.130840
